x1,x2,x3,x4,x5
1.0,0,1,1,1
1.0,0,1,1,1
1.0,0,2,2,1
1.0,0,2,2,1
1.0,0,3,3,1
1.0,0,3,3,1
1.0,0,4,4,1
1.0,0,4,4,1
1.0,0,5,5,1
1.0,0,5,5,1
1.0,1,1,4,78
1.0,1,2,2,5
1.0,1,2,3,8
1.0,1,3,2,8
1.0,1,3,4,14
1.0,1,4,3,14
1.0,1,4,5,78
1.0,1,5,1,78
1.0,3,5,5,33
1.0,2,1,1,79
1.0,2,2,2,21
1.0,2,3,3,34
1.0,2,4,4,80
1.0,2,5,5,81
1.0,0,2,2,1
1.0,0,2,2,1
1.0,0,3,3,1
1.0,0,3,3,1
1.0,0,4,4,1
1.0,0,4,4,1
1.0,0,5,5,1
1.0,0,5,5,1
1.0,1,1,2,78
1.0,1,2,1,78
1.0,1,2,3,5
1.0,1,3,2,5
1.0,3,3,4,8
1.0,1,4,3,8
1.0,1,4,5,14
1.0,1,5,4,14
1.0,1,5,5,33
1.0,2,2,2,92
1.0,2,3,3,21
1.0,2,4,4,34
1.0,2,5,5,89
1.0,0,2,2,1
1.0,0,2,2,1
1.0,0,3,3,1
1.0,0,3,3,1
1.0,1,2,3,78
1.0,1,3,1,78
1.0,2,2,2,93
1.0,2,3,3,94
1.0,0,3,3,1
1.0,0,3,3,1
1.0,0,4,4,1
1.0,0,4,4,1
1.0,1,1,3,78
1.0,1,3,4,78
1.0,1,4,1,78
1.0,3,4,5,14
1.0,2,3,3,95
1.0,2,4,4,88
1.0,0,2,2,1
1.0,0,2,2,1
1.0,0,3,3,1
1.0,0,3,3,1
1.0,0,4,4,1
1.0,0,4,4,1
1.0,0,5,5,1
1.0,0,5,5,1
1.0,1,1,5,78
1.0,1,2,4,14
1.0,1,3,2,15
1.0,3,4,5,33
1.0,1,5,4,33
1.0,2,2,2,46
1.0,2,3,3,46
1.0,2,4,4,89
1.0,2,5,5,97
1.0,0,3,3,1
1.0,0,3,3,1
1.0,2,3,3,18
1.0,0,2,2,1
1.0,0,2,2,1
1.0,0,3,3,1
1.0,0,3,3,1
1.0,3,2,1,78
1.0,1,3,2,99
1.0,1,4,3,78
1.0,2,3,3,93
1.0,0,3,3,1
1.0,0,2,2,1
1.0,1,2,4,78
1.0,3,5,4,14
1.0,0,2,2,1
1.0,0,2,2,1
1.0,0,3,3,1
1.0,1,2,4,8
1.0,1,2,3,90
1.0,1,3,2,25
1.0,2,2,2,94
1.0,0,3,3,1
1.0,0,3,3,1
1.0,2,3,3,23
1.0,0,2,2,1
1.0,0,2,2,1
1.0,2,2,2,9
1.0,0,2,2,1
1.0,0,2,2,1
1.0,0,3,3,1
1.0,0,3,3,1
1.0,1,3,2,10
1.0,3,3,2,90
1.0,2,2,2,91
1.0,2,3,3,91
1.0,0,3,3,1
1.0,0,3,3,1
1.0,2,3,3,9
1.0,0,2,2,1
1.0,0,2,2,1
1.0,2,2,2,23
1.0,3,2,4,14
1.0,1,5,4,78
1.0,3,2,3,8
1.0,0,2,2,1
1.0,1,3,2,14
1.0,1,3,3,8
1.0,3,3,2,14
1.0,1,4,5,33
1.0,3,3,2,78
1.0,1,3,2,78
1.0,3,3,3,8
1.0,3,3,1,78
1.0,0,2,2,1
1.0,3,3,2,8
1.0,1,3,3,5
1.0,0,3,3,1
1.0,0,4,4,1
1.0,0,4,4,1
1.0,1,3,5,78
1.0,1,4,3,110
1.0,3,4,2,8
1.0,2,4,4,95
1.0,0,4,4,1
1.0,0,4,4,1
1.0,2,4,4,65
1.0,0,3,3,1
1.0,0,3,3,1
1.0,0,3,3,1
1.0,0,4,4,1
1.0,1,3,5,14
1.0,1,3,4,86
