x1,x2,x3,x4,x5
1.0,0,1,1,1
1.0,0,1,1,1
1.0,0,2,2,1
1.0,0,2,2,1
1.0,0,3,3,1
1.0,0,3,3,1
1.0,0,4,4,1
1.0,0,4,4,1
1.0,0,5,5,1
1.0,0,5,5,1
1.0,0,6,6,1
1.0,0,6,6,1
1.0,1,1,5,203
1.0,1,2,2,5
1.0,1,2,3,8
1.0,1,3,2,8
1.0,1,3,4,14
1.0,1,4,3,14
1.0,1,4,5,33
1.0,1,5,4,33
1.0,1,5,6,203
1.0,1,6,1,203
1.0,1,6,6,83
1.0,2,1,1,205
1.0,2,2,2,21
1.0,2,3,3,34
1.0,2,4,4,89
1.0,2,5,5,218
1.0,2,6,6,214
1.0,0,2,2,1
1.0,0,2,2,1
1.0,0,3,3,1
1.0,0,3,3,1
1.0,0,4,4,1
1.0,0,4,4,1
1.0,0,5,5,1
1.0,0,5,5,1
1.0,0,6,6,1
1.0,0,6,6,1
1.0,1,1,2,203
1.0,1,2,1,203
1.0,1,2,3,5
1.0,1,3,2,5
1.0,1,3,4,8
1.0,1,4,3,8
1.0,1,4,5,14
1.0,1,5,4,14
1.0,1,5,6,33
1.0,1,6,5,33
1.0,2,2,2,219
1.0,2,3,3,21
1.0,2,4,4,34
1.0,2,5,5,89
1.0,2,6,6,208
1.0,1,1,6,203
1.0,1,5,1,203
1.0,1,6,5,203
1.0,0,3,3,1
1.0,0,3,3,1
1.0,0,4,4,1
1.0,0,4,4,1
1.0,1,1,3,203
1.0,1,3,4,203
1.0,1,4,1,203
1.0,2,3,3,222
1.0,2,4,4,225
1.0,0,4,4,1
1.0,0,4,4,1
1.0,0,5,5,1
1.0,0,5,5,1
1.0,1,1,4,203
1.0,1,4,5,203
1.0,2,4,4,207
1.0,2,5,5,217
1.0,0,2,2,1
1.0,0,2,2,1
1.0,0,3,3,1
1.0,0,3,3,1
1.0,0,5,5,1
1.0,0,5,5,1
1.0,0,6,6,1
1.0,0,6,6,1
1.0,1,2,4,14
1.0,1,3,2,15
1.0,1,5,6,83
1.0,1,6,5,83
1.0,2,2,2,46
1.0,2,3,3,46
1.0,2,5,5,208
1.0,2,6,6,228
1.0,0,3,3,1
1.0,0,3,3,1
1.0,2,3,3,18
1.0,0,2,2,1
1.0,0,2,2,1
1.0,0,2,2,1
1.0,0,3,3,1
1.0,0,3,3,1
1.0,1,2,4,203
1.0,1,3,2,229
1.0,2,2,2,224
1.0,2,3,3,224
1.0,0,3,3,1
1.0,0,2,2,1
1.0,1,4,3,203
1.0,0,2,2,1
1.0,0,2,2,1
1.0,0,3,3,1
1.0,0,3,3,1
1.0,1,2,4,8
1.0,1,2,3,209
1.0,1,3,2,25
1.0,1,3,1,203
1.0,2,2,2,227
1.0,2,3,3,227
1.0,0,3,3,1
1.0,0,3,3,1
1.0,2,3,3,23
1.0,0,2,2,1
1.0,0,2,2,1
1.0,2,2,2,9
1.0,0,2,2,1
1.0,0,2,2,1
1.0,0,3,3,1
1.0,0,3,3,1
1.0,1,3,2,10
1.0,1,3,2,209
1.0,2,2,2,234
1.0,2,3,3,234
1.0,0,3,3,1
1.0,0,3,3,1
1.0,2,3,3,9
1.0,0,2,2,1
1.0,0,2,2,1
1.0,2,2,2,23
1.0,1,5,4,203
1.0,0,2,2,1
1.0,1,3,2,14
1.0,1,3,3,8
1.0,0,3,3,1
1.0,0,2,2,1
1.0,1,3,3,5
1.0,0,2,2,1
1.0,1,3,2,203
1.0,0,3,3,1
1.0,0,4,4,1
1.0,0,4,4,1
1.0,1,3,5,203
1.0,1,4,3,240
1.0,1,4,2,8
1.0,2,4,4,222
1.0,0,4,4,1
1.0,0,4,4,1
